channelId,channelTitle,channelPublishedAt,subscriberCount,videoId,videoTitle,videoPublishedAt,viewCount,likeCount,dislikeCount,commentId,commentAuthor,commentText,commentLikeCount,commentPublishedAt
UCMFk5S7g5DY-CZNVh_Kyz_A,약사가 들려주는 약 이야기,2017-03-02T02:28:38Z,1770000,27hKbfHnEVA,"영양제 선택이 어려우시면 그냥 이렇게 구성하시면 됩니다. 피로회복, 만성염증 조절, 당뇨병을 예방하는 최고의 영양제 구성",2024-05-28T10:00:02Z,30061,1786,0,Ugyq8SoUi-3mXDBfApR4AaABAg,@user-jq9ww3nf3g,"고약사님   항상  감사합니다
남성  탈모영양제  부탁해도될까요
아들이살짝  탈모있는것같아서요😊",0,2024-05-30T03:07:22Z
UCMFk5S7g5DY-CZNVh_Kyz_A,약사가 들려주는 약 이야기,2017-03-02T02:28:38Z,1770000,27hKbfHnEVA,"영양제 선택이 어려우시면 그냥 이렇게 구성하시면 됩니다. 피로회복, 만성염증 조절, 당뇨병을 예방하는 최고의 영양제 구성",2024-05-28T10:00:02Z,30061,1786,0,Ugw9JHX-LdVwld9v95h4AaABAg,@user-wq9gv7hx8f,답글꼭부탁드립니다,0,2024-05-30T01:05:38Z
UCMFk5S7g5DY-CZNVh_Kyz_A,약사가 들려주는 약 이야기,2017-03-02T02:28:38Z,1770000,27hKbfHnEVA,"영양제 선택이 어려우시면 그냥 이렇게 구성하시면 됩니다. 피로회복, 만성염증 조절, 당뇨병을 예방하는 최고의 영양제 구성",2024-05-28T10:00:02Z,30061,1786,0,Ugz50kGSr_88rSs4i6B4AaABAg,@user-wq9gv7hx8f,안녕하세요저는부산에사는60대여성입니다문의드릴께있어서요샤프란이라는건강식품은어떤효능이있는지국내생산은없고해외제품만있다고하든데어디에서생산되는게좋은지여쭙고싶이요,0,2024-05-30T01:04:26Z
UCMFk5S7g5DY-CZNVh_Kyz_A,약사가 들려주는 약 이야기,2017-03-02T02:28:38Z,1770000,27hKbfHnEVA,"영양제 선택이 어려우시면 그냥 이렇게 구성하시면 됩니다. 피로회복, 만성염증 조절, 당뇨병을 예방하는 최고의 영양제 구성",2024-05-28T10:00:02Z,30061,1786,0,UgzjZdMdMaayM_3OZUB4AaABAg,@user-to2qi8kr1r,항상 영상 잘 보고 도움도 많이 된답니다.오늘 영상도 너무 감사합니다~,0,2024-05-30T00:50:05Z
UCMFk5S7g5DY-CZNVh_Kyz_A,약사가 들려주는 약 이야기,2017-03-02T02:28:38Z,1770000,27hKbfHnEVA,"영양제 선택이 어려우시면 그냥 이렇게 구성하시면 됩니다. 피로회복, 만성염증 조절, 당뇨병을 예방하는 최고의 영양제 구성",2024-05-28T10:00:02Z,30061,1786,0,UgwqphNYZadSCg_tyS14AaABAg,@user-nd9oj2xp7i,"안녕하세요 고약사님 :)

호두에 오메가3가 많이 들어있다고 하는데요
저가 영양제만 먹으면 자꾸 속이 울렁거려서 용량도 줄이고 회사도 줄였는데 효과가 없더라구요....
저같은 사람은 호두로 오메가3 함량을 채워도 영양제처럼 같은 효과를 낼 수 있나요?",0,2024-05-29T23:45:44Z
UCMFk5S7g5DY-CZNVh_Kyz_A,약사가 들려주는 약 이야기,2017-03-02T02:28:38Z,1770000,27hKbfHnEVA,"영양제 선택이 어려우시면 그냥 이렇게 구성하시면 됩니다. 피로회복, 만성염증 조절, 당뇨병을 예방하는 최고의 영양제 구성",2024-05-28T10:00:02Z,30061,1786,0,Ugx89fSSSJUePHFNZj14AaABAg,@user-nv9co5tb2k,"대웅제약 리버골드파워
먹고있는데요
벤포벨s랑 같이 복용해도
될까요?",0,2024-05-29T23:13:11Z
UCMFk5S7g5DY-CZNVh_Kyz_A,약사가 들려주는 약 이야기,2017-03-02T02:28:38Z,1770000,27hKbfHnEVA,"영양제 선택이 어려우시면 그냥 이렇게 구성하시면 됩니다. 피로회복, 만성염증 조절, 당뇨병을 예방하는 최고의 영양제 구성",2024-05-28T10:00:02Z,30061,1786,0,UgzY7i6UyWLN9Pf5U2N4AaABAg,@user-vu9gi6ct2b,"좋은정보 너무 감사드려요 약사님
궁금한게 있는데요 블루보넷 단독 마그네슘 제품말고 칼슘 마그네슘 비타민D 같이 있는거 있던데 그것도 괜찮을까요?",0,2024-05-29T22:29:10Z
UCMFk5S7g5DY-CZNVh_Kyz_A,약사가 들려주는 약 이야기,2017-03-02T02:28:38Z,1770000,27hKbfHnEVA,"영양제 선택이 어려우시면 그냥 이렇게 구성하시면 됩니다. 피로회복, 만성염증 조절, 당뇨병을 예방하는 최고의 영양제 구성",2024-05-28T10:00:02Z,30061,1786,0,Ugzppg2VXsldwynU8EZ4AaABAg,@user-re9xb8sf2i,전부 한번에 먹어도 되는지요? 영양제 오마비디시유,1,2024-05-29T22:19:47Z
UCMFk5S7g5DY-CZNVh_Kyz_A,약사가 들려주는 약 이야기,2017-03-02T02:28:38Z,1770000,27hKbfHnEVA,"영양제 선택이 어려우시면 그냥 이렇게 구성하시면 됩니다. 피로회복, 만성염증 조절, 당뇨병을 예방하는 최고의 영양제 구성",2024-05-28T10:00:02Z,30061,1786,0,UgwvSx9zjIQkHk5Ww3J4AaABAg,@user-vq8zb1id7v,종합비타민으로 슈퍼이ㅁㅠㄴ  하루2알씩  섭취중인데 부족한 영양소가 있을까요? 댓글부탁드립니다ㅠㅠ,0,2024-05-29T22:19:29Z
UCMFk5S7g5DY-CZNVh_Kyz_A,약사가 들려주는 약 이야기,2017-03-02T02:28:38Z,1770000,27hKbfHnEVA,"영양제 선택이 어려우시면 그냥 이렇게 구성하시면 됩니다. 피로회복, 만성염증 조절, 당뇨병을 예방하는 최고의 영양제 구성",2024-05-28T10:00:02Z,30061,1786,0,UgxBkYx7u529qoiiga94AaABAg,@user-vk7ox5sj3h,믿고보는 고약사님 ㅎㅎ좋은정보 알려주시려는 마음까지 느껴져서 더 감사합니당,0,2024-05-29T20:53:32Z
